date,house-1-temperature-color,house-1-temperature-data,house-1-rehs-color,house-1-rehs-data,motality
1/11/2022,green,15.16,red,2,4
1/12/2022,green,15.51,red,6,8
1/13/2022,green,14.55,red,7,2
1/14/2022,green,14.45,red,7,5
1/15/2022,green,15.62,red,8,1
1/16/2022,green,16.25,red,7,1
1/17/2022,green,16.13,red,7,2
1/18/2022,green,15.88,red,10,
1/19/2022,green,16.16,red,10,
1/20/2022,green,15.11,red,12,
1/21/2022,green,15.48,red,10,
1/22/2022,green,15.45,red,7,5
1/23/2022,green,15.3,red,11,
1/24/2022,green,15.43,red,8,
1/25/2022,green,15.69,red,11,
1/26/2022,green,15.24,red,12,
1/27/2022,green,15.52,red,18,
1/28/2022,green,14.73,red,17,1
1/29/2022,green,14.5,red,18,1
1/30/2022,green,14.56,red,19,
1/31/2022,green,14.82,red,19,1
2/1/2022,green,14.66,red,20,1
2/2/2022,green,15.04,red,23,3
2/3/2022,green,15.06,red,22,
2/4/2022,green,14.76,red,25,
2/5/2022,green,14.17,red,29,4
2/6/2022,green,14.52,red,25,
2/7/2022,green,15.1,red,25,
2/8/2022,green,15.05,red,27,1
2/9/2022,green,15.2,red,25,2
2/10/2022,green,15.38,red,28,
2/11/2022,green,15.83,red,25,
2/12/2022,green,15.83,red,21,
2/13/2022,green,16.09,red,18,1
2/14/2022,green,15.38,red,23,3
2/15/2022,green,15.29,red,14,2
2/16/2022,green,15.83,red,18,
2/17/2022,green,15.68,red,13,
2/18/2022,green,15.84,red,13,
2/19/2022,green,15.47,red,13,
2/20/2022,green,15.25,red,12,
2/21/2022,green,16.03,red,12,1
2/22/2022,green,15.97,red,10,
2/23/2022,green,16.23,red,18,
2/24/2022,green,17.17,red,18,
2/25/2022,green,17.74,red,17,
2/26/2022,green,18.15,red,19,
2/27/2022,green,18.15,red,20,
2/28/2022,green,18.17,red,22,
3/1/2022,yellow,16.23,red,20,
3/2/2022,yellow,16.72,red,21,
3/3/2022,green,18.02,red,18,
3/4/2022,red,19.05,red,20,
3/5/2022,green,17.58,red,24,1
3/6/2022,green,17.27,red,18,
3/7/2022,yellow,18.26,red,14,
3/8/2022,green,19.8,red,24,1
3/9/2022,green,21.34,red,12,1
3/10/2022,green,21.24,red,13,
3/11/2022,green,22.05,red,12,
3/12/2022,green,20.66,red,8,2
3/13/2022,green,20.83,red,12,1
3/14/2022,green,21.12,red,11,
3/15/2022,green,21.32,red,9,1
3/16/2022,green,21.8,red,9,
3/17/2022,green,18.15,red,9,
3/18/2022,green,19.31,red,9,1
3/19/2022,green,20.28,red,4,
3/20/2022,red,19.29,red,7,2
3/21/2022,red,16.5,red,8,9
3/22/2022,yellow,17.4,red,8,6
3/23/2022,yellow,17.59,red,15,3
3/24/2022,green,19,red,8,6
3/25/2022,green,18.11,red,13,1
3/26/2022,green,18.22,red,16,2
3/27/2022,green,17.89,red,9,3
3/28/2022,green,17,red,18,2
3/29/2022,green,18.61,red,12,6
3/30/2022,green,18.16,red,12,6
3/31/2022,yellow,16.94,red,8,
