,date,monitor-1-temp-color,monitor-1-temp-data,monitor-1-rehs-color,monitor-1-rehs-data,monitor-2-temp-color,monitor-2-temp-data,monitor-2-rehs-color,monitor-2-rehs-data,monitor-3-temp-color,monitor-3-temp-data,monitor-3-rehs-color,monitor-3-rehs-data,monitor-4-temp-color,monitor-4-temp-data,monitor-4-rehs-color,monitor-4-rehs-data,monitor-5-temp-color,monitor-5-temp-data,monitor-5-rehs-color,monitor-5-rehs-data
317,11/14/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
318,11/15/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
319,11/16/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
320,11/17/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
321,11/18/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
322,11/19/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
323,11/20/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
324,11/21/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
325,11/22/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
326,11/23/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
327,11/24/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
328,11/25/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
329,11/26/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
330,11/27/2021,green,12.5,blue,,green,12.5,blue,,green,11.5,blue,,green,12,blue,,,,,
331,11/28/2021,green,13,green,98,green,12.5,green,98,green,12,green,98,green,12.5,green,97,,,,
332,11/29/2021,green,13,green,99,green,13,green,97,green,12,green,97,green,12.5,green,96,,,,
333,11/30/2021,green,12,blue,,purple,12,blue,97,green,11,blue,,green,11,green,98,,,,
334,12/1/2021,green,10.5,green,98,green,10.5,blue,,green,9.5,green,98,green,10,green,97,,,,
335,12/2/2021,green,10.5,green,96,green,10.5,blue,,green,10,green,97,green,10,green,99,,,,
336,12/3/2021,green,11,green,97,green,11,green,97,green,10,green,99,green,10.5,green,97,,,,
337,12/4/2021,green,11,green,97,green,11,green,98,green,10,green,96,green,10.5,green,98,,,,
338,12/5/2021,green,10.5,green,98,green,10.5,green,98,green,10,green,97,green,10,green,98,,,,
339,12/6/2021,green,10.5,green,96,green,10.5,green,96,green,10,green,99,green,9.5,green,98,,,,
340,12/7/2021,green,10.5,green,96,green,10,green,98,green,9.5,green,97,green,9.5,green,98,,,,
341,12/8/2021,green,12,green,96,green,12,green,97,green,11.5,green,97,green,11.5,green,96,,,,
342,12/9/2021,blue,17.5,blue,80,blue,17.5,blue,86,blue,17.5,blue,86,blue,19,blue,86,,,,
343,12/10/2021,blue,22.5,blue,18,blue,22,blue,23,blue,23,blue,17,blue,23.5,blue,23,,,,
344,12/11/2021,green,22,red,6,green,21.5,red,9,green,22,red,14,green,22.5,red,17,,,,
345,12/12/2021,green,21.5,red,7,green,21,red,14,green,21.5,red,17,yellow,22.5,red,24,,,,
346,12/13/2021,green,21.5,red,10,green,21,red,14,green,21.5,red,20,green,22,red,25,,,,
347,12/14/2021,green,22,red,8,green,21.5,red,19,green,22,red,19,green,21.5,red,22,,,,
348,12/15/2021,green,22.5,red,5,green,21,red,11,green,22,red,13,green,21.5,red,19,,,,
349,12/16/2021,green,22,red,5,green,21,red,12,green,21.5,red,14,green,21,red,15,,,,
350,12/17/2021,green,20.5,red,5,green,19.5,red,11,green,20,red,12,yellow,19.5,red,16,,,,
351,12/18/2021,green,19.5,red,5,green,18.5,red,11,green,19.5,red,12,green,19.5,red,17,,,,
352,12/19/2021,green,21,red,4,green,20,red,12,green,20.5,red,10,green,20,red,15,,,,
353,12/20/2021,green,21.5,red,7,green,20.5,red,15,green,21,red,15,green,20.5,red,18,,,,
354,12/21/2021,green,21,red,6,green,20,red,12,green,20.5,red,12,green,20,red,18,,,,
355,12/22/2021,green,21,red,9,green,20,red,16,green,20.5,red,17,green,20,red,23,,,,
356,12/23/2021,green,21,red,7,green,19.5,red,13,green,20,red,16,green,19.5,red,21,,,,
357,12/24/2021,green,20,red,6,green,18.5,red,12,green,19,red,12,green,18.5,red,15,,,,
358,12/25/2021,green,19,red,10,green,17.5,red,13,green,18.5,red,16,green,18,red,22,,,,
359,12/26/2021,green,18.5,red,10,green,17.5,red,13,green,18,red,14,yellow,18,red,22,,,,
